,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
221,Samsung Galaxy A21s (64 GB) (SM-A217F/DSN),6.5 İnç,64 GB,4 GB,47puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"6.000,00"
222,Xiaomi Mi Max 3,6.9 İnç,64 GB,4 GB,47puan,5500 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
223,Samsung Galaxy A12 (128 GB),6.5 İnç,128 GB,4 GB,47puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"5.389,02"
224,Omix X400 (64 GB / 4 GB),6.53 İnç,64 GB,4 GB,47puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"3.773,00"
225,Sony Xperia XZ (F8331),5.2 İnç,32 GB,3 GB,47puan,2900 mAh,Tek Hat,Var,23 MP,Dynamic Contrast Enhancer,60 Hz,Android,Var,
226,Samsung Galaxy M12 (SM-M127F),6.5 İnç,64 GB,4 GB,47puan,5000 mAh,Çift Hat,Var,48 MP,Var,90 Hz,Android,Yok,"4.899,02"
227,Omix X300 (4 GB),6.67 İnç,64 GB,4 GB,47puan,5000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,"3.799,00"
228,Elephone E10 Pro,6.55 İnç,128 GB,4 GB,47puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"7.839,02"
229,Xiaomi Mi 8 SE,5.88 İnç,64 GB,4 GB,47puan,3120 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
230,Xiaomi Mi MIX 2 (128 GB),5.99 İnç,128 GB,6 GB,47puan,3400 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
231,Xiaomi Mi Note 2 (64 GB),5.7 İnç,64 GB,4 GB,47puan,4070 mAh,Çift Hat,Var,22.56 MP,Var,60 Hz,Android,Var,
232,Huawei Mate 20 Lite (SNE-LX1),6.3 İnç,64 GB,4 GB,47puan,3750 mAh,Tek Hat,Var,20 MP,Var,60 Hz,Android,Var,"3.799,00"
233,Apple iPhone 7 (PRODUCT)RED Special Edition (256 GB) (MPRM2TU/A),4.7 İnç,256 GB,2 GB,47puan,1960 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,iOS,Var,
234,"Apple iPhone 7 (256 GB) (MN982TU/A, MN9A2TU/A, MN992TU/A, MN9C2TU/A, MN972TU/A)",4.7 İnç,256 GB,2 GB,46puan,1960 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,iOS,Var,"4.399,00"
235,realme 3 Pro,6.3 İnç,64 GB,4 GB,46puan,4045 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,
236,LG V20 (H990),5.7 İnç,64 GB,4 GB,46puan,3200 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
237,Vivo Y20s,6.51 İnç,128 GB,4 GB,46puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"4.655,03"
238,Asus ZenFone 5 (ZE620KL),6.2 İnç,64 GB,4 GB,46puan,3300 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
239,Xiaomi Mi MIX 2 Special Edition (128 GB),5.99 İnç,128 GB,8 GB,46puan,3400 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
240,Redmi 10C (64 GB),6.71 İnç,64 GB,4 GB,46puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"4.468,00"
241,Huawei P30 Lite (24 MP / 128 GB),6.15 İnç,128 GB,4 GB,46puan,3340 mAh,Çift Hat,Var,24 MP,Var,60 Hz,Android,,
242,Omix X300,6.67 İnç,64 GB,3 GB,46puan,5000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,"3.623,00"
243,realme C25Y (RMX3269),6.5 İnç,128 GB,4 GB,46puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"4.199,00"
